ed	1.20.1-1
efibootmgr	18-1build2
eject	2.39.3-9ubuntu6.3
emacsen-common	3.0.5
enchant-2	2.3.3-2build2
eog	45.3-1ubuntu2
eslint	6.4.0~dfsg+~6.1.9-11build3
espeak-ng-data	1.51+dfsg-12build1
ethtool	1:6.7-1build1
evince	46.3.1-0ubuntu1
evince-common	46.3.1-0ubuntu1
evolution-data-server	3.52.3-0ubuntu1
evolution-data-server-common	3.52.3-0ubuntu1
fakeroot	1.33-1
fd-find	9.0.0-1
fdisk	2.39.3-9ubuntu6.3
file	1:5.45-3build1
findutils	4.9.0-5build1
firefox	1:1snap1-0ubuntu5
firmware-sof-signed	2023.12.1-1ubuntu1.10
fontconfig	2.15.0-1.1ubuntu2
fontconfig-config	2.15.0-1.1ubuntu2
fonts-dejavu-core	2.37-8
fonts-dejavu-extra	2.37-8
fonts-dejavu-mono	2.37-8
fonts-droid-fallback	1:6.0.1r16-1.1build1
fonts-lato	2.015-1
fonts-liberation	1:2.1.5-3
fonts-liberation-sans-narrow	1:1.07.6-4
fonts-lmodern	2.005-1
fonts-noto-cjk	1:20230817+repack1-3
fonts-noto-color-emoji	2.047-0ubuntu0.24.04.1
fonts-noto-core	20201225-2
fonts-noto-mono	20201225-2
fonts-texgyre	20180621-6
fonts-texgyre-math	20180621-6
fonts-ubuntu	0.869+git20240321-0ubuntu1
fonts-urw-base35	20200910-8
foomatic-db-compressed-ppds	20230202-1
fprintd	1.94.3-1
friendly-recovery	0.2.42
ftp	20230507-2build3
fuse-overlayfs	1.13-1
fuse3	3.14.0-5build1
fwupd	1.9.31-0ubuntu1~24.04.1
fwupd-signed	1.52+1.4-1
fzf	0.44.1-1ubuntu0.3
g++	4:13.2.0-7ubuntu1
g++-13	13.3.0-6ubuntu2~24.04
g++-13-multilib	13.3.0-6ubuntu2~24.04
g++-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
g++-multilib	4:13.2.0-7ubuntu1
g++-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gamemode	1.8.1-2build1
gamemode-daemon	1.8.1-2build1
gcc	4:13.2.0-7ubuntu1
gcc-11-base	11.5.0-1ubuntu1~24.04
gcc-13	13.3.0-6ubuntu2~24.04
gcc-13-base	13.3.0-6ubuntu2~24.04
gcc-13-multilib	13.3.0-6ubuntu2~24.04
